,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_slim_version,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,1.4422000408172608,0.08350367983525143,0.0018729686737060547,0.000683302579835678,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.081552982330322,-6.854628086090088,-9.4453763961792,-12.731008529663086,-25.221864700317383,-12.266886138916016,6.814514120955164,6,1
1,1.7799094200134278,0.06259268817410538,0.0014376640319824219,0.0003847677004538512,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-5.964534759521484,-6.338982582092285,-8.869921684265137,-12.130764961242676,-25.30602264404297,-11.72204532623291,7.14076176906975,4,1
2,1.8506479740142823,0.06714330197897025,0.0012794017791748046,0.0002491712741287863,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.038484573364258,-6.466339111328125,-9.392050743103027,-12.56502914428711,-25.234766006469727,-12.139333915710449,6.890873050139223,5,1
3,2.344365644454956,0.030859468920865184,0.0014311790466308594,0.00038565875979729776,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.1503143310546875,-5.761429309844971,-5.755014896392822,-7.563465118408203,-16.9084415435791,-8.627733039855958,4.203659647921765,3,1
4,1.2271368503570557,0.2649747172252185,0.0008225440979003906,0.0004118769385275913,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.794047474861145,-5.3222808837890625,-5.750749588012695,-7.567258358001709,-17.337284088134766,-7.554324078559875,5.236834123054126,2,1
5,1.111130666732788,0.043737787278142565,0.0005999088287353515,0.0004898265789454325,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-2.0010039806365967,-8.883132934570312,-3.2618300914764404,-1.720704436302185,-17.055795669555664,-6.58449342250824,5.841863140007731,1,1
0,1.3535289764404297,0.09548615155981631,0.0018237113952636718,0.0005077370121273804,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.606068134307861,-8.073426246643066,-11.669045448303223,-13.596542358398438,-25.317819595336914,-13.2525803565979,6.432769669801817,6,2
1,1.0746017456054688,0.0920442345200005,0.0008718013763427734,0.0004572771039530082,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-5.86360502243042,-6.2377519607543945,-10.390716552734375,-11.913451194763184,-25.388261795043945,-11.958757305145264,7.109053084470546,4,2
2,1.0628982543945313,0.07336039701988681,0.0007045269012451172,0.000402212920241857,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-6.90653657913208,-6.933520317077637,-10.74943733215332,-12.522663116455078,-25.308124542236328,-12.484056377410889,6.77324583439596,5,2
3,1.41333909034729,0.09498645785709253,0.0008016586303710938,0.0004008437232823123,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.8438005447387695,-5.459625244140625,-6.193088054656982,-12.507726669311523,-16.50316619873047,-9.501481342315675,4.298986761566534,3,2
4,1.0827714443206786,0.04817386097708206,0.0007586956024169921,0.0006501503271733512,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.2711187601089478,-5.347455978393555,-6.239319801330566,-9.055177688598633,-1.921631097793579,-4.766940665245056,2.870903427309965,1,2
